v0,v1,v2,v3,v4,v5,pattern,label,index
-0.332736,0.956717,-0.142964,-0.868259,-0.255684,-0.538001,2.0,0,0
-0.104163,0.148395,-0.217055,0.532675,0.455437,0.298298,2.0,0,1
-0.104163,0.148395,-0.217055,0.532675,0.455437,0.298298,2.0,0,2
-0.175957,0.320355,-0.36148,0.348902,0.162466,-0.226387,2.0,0,3
-0.175957,0.320355,-0.36148,0.348902,0.162466,-0.226387,2.0,0,4
-0.758866,0.687873,0.993053,0.953487,0.327595,-0.162466,2.0,0,5
1.163759,-1.318891,1.942256,2.287837,0.412823,-0.346238,2.0,0,6
0.097145,-3.205654,-0.002275,1.829737,-0.175783,-0.721774,2.0,0,7
0.097145,-3.205654,-0.002275,1.829737,-0.175783,-0.721774,2.0,0,8
-1.19588,-2.650569,-0.592618,0.70313,-0.338248,-1.16123,2.0,0,9
-1.57581,-1.898064,-3.130796,-0.082565,0.284981,-1.720539,2.0,0,10
-4.406534,-4.0481,-5.220192,-1.867024,0.599259,-1.957579,2.0,0,11
-1.505022,-12.199591,-20.002382,-8.072682,1.486162,-1.182537,2.0,0,12
13.008335,-2.523184,-17.518837,-11.646928,-2.530204,0.836299,2.0,0,13
22.943413,0.322711,-5.245719,8.245801,-22.638666,-7.787701,2.0,0,14
25.788397,22.282347,-8.884232,13.266258,-2.49558,10.107499,2.0,0,15
19.806438,15.735874,-12.704144,-2.058787,-2.128035,3.038908,2.0,0,16
9.905975,1.476088,-8.067827,-4.610298,-1.978886,-4.256069,2.0,0,17
14.665392,-16.070171,-17.998646,-6.242945,0.724437,-8.938278,2.0,0,18
7.442741,-11.356141,-10.767094,-6.474659,2.327788,-5.398656,2.0,0,19
4.973762,-2.479382,-7.7223,-1.779133,1.249122,-1.84039,2.0,0,20
1.587737,-0.757022,-7.533104,-3.781989,0.918864,-0.796348,2.0,0,21
1.587737,-0.757022,-7.533104,-3.781989,0.918864,-0.796348,2.0,0,22
1.587737,-0.757022,-7.533104,-3.781989,0.918864,-0.796348,2.0,0,23
-1.461902,0.196954,0.778391,-1.614004,0.002663,-0.388852,2.0,0,24
-1.604474,1.017546,0.186366,-0.372872,-0.191763,-0.42614,2.0,0,25
0.418798,0.001547,1.682901,0.258347,-0.511368,-0.460763,2.0,0,26
1.142411,2.341523,1.684816,1.440885,-0.356892,0.077238,2.0,0,27
1.22624,2.03268,1.485353,0.65519,-0.351565,0.22905,2.0,0,28
0.555223,2.760102,1.399757,0.631219,-0.191763,0.26101,2.0,0,29
1.697166,-0.293266,0.666351,-0.716447,-0.378199,-0.905547,3.0,1,30
-12.212503,-3.312696,13.204077,-1.086656,1.060022,1.302389,3.0,1,31
-12.212503,-3.312696,13.204077,-1.086656,1.060022,1.302389,3.0,1,32
-8.188193,-1.295882,14.030359,1.827074,2.998957,1.384954,3.0,1,33
7.11451,-11.075439,0.114692,-6.234955,3.014938,2.058787,3.0,1,34
7.11451,-11.075439,0.114692,-6.234955,3.014938,2.058787,3.0,1,35
18.904236,15.234272,-10.851751,-1.107963,23.696026,-0.340912,3.0,1,36
28.917868,-8.774008,20.15134,34.868874,-34.639824,-16.563515,3.0,1,37
13.79418,-3.284995,12.188908,-9.106071,-1.400934,-0.617902,3.0,1,38
-5.765338,3.898578,7.210822,-1.294399,-2.24256,-1.363647,3.0,1,39
-10.161427,-3.043333,2.699287,-0.378199,-1.398271,-1.009418,3.0,1,40
-10.161427,-3.043333,2.699287,-0.378199,-1.398271,-1.009418,3.0,1,41
10.805488,-10.622767,0.221074,1.392944,-1.036052,-0.516694,3.0,1,42
10.805488,-10.622767,0.221074,1.392944,-1.036052,-0.516694,3.0,1,43
10.64817,2.244285,-1.381687,0.724437,-0.122515,0.90022,3.0,1,44
-0.024895,9.464298,1.329722,1.539429,0.556645,3.172077,3.0,1,45
-3.716698,11.561804,-10.072735,1.406261,2.000193,0.681823,3.0,1,46
-0.037893,4.437506,-4.348997,0.364882,-0.969468,-2.383719,3.0,1,47
1.013967,1.300076,-1.77267,-1.768479,-1.049369,-2.269193,3.0,1,48
5.759551,-1.85426,-2.347946,-2.663373,-1.036052,-2.024163,3.0,1,49
5.231716,-4.200317,1.285699,-2.24256,-1.179874,-0.889566,3.0,1,50
2.90917,-2.671745,-1.513645,0.324931,0.623229,0.9162,3.0,1,51
0.804069,1.550295,-2.055718,2.010846,0.822982,2.49558,3.0,1,52
-0.193523,3.040492,-5.001902,1.065349,2.0215,3.478365,3.0,1,53
4.639811,5.583414,-3.578805,1.893658,1.182537,1.80044,3.0,1,54
3.750886,3.756137,-5.002423,-1.102636,-0.146486,-0.316941,3.0,1,55
1.804666,2.27912,-3.067368,-2.04547,-1.134597,-2.508897,3.0,1,56
-3.606639,1.41248,-2.787861,-2.002856,-0.913537,-2.165322,3.0,1,57
2.853455,-3.128325,-1.276759,-1.550083,-1.022735,-3.102829,3.0,1,58
6.048885,-5.048734,0.800013,-0.751071,-0.378199,-1.60335,3.0,1,59
0.71409,2.462135,0.127135,0.580615,-0.170456,0.23704,2.0,0,60
6.639796,-2.641862,-14.098004,-5.02312,-1.864361,-2.322461,2.0,0,61
11.832957,-10.382519,-16.512453,-4.370595,-1.797777,-1.187864,2.0,0,62
23.110697,-6.44976,15.599806,8.959585,-8.826417,9.617438,2.0,0,63
23.110697,-6.44976,15.599806,8.959585,-8.826417,9.617438,2.0,0,64
27.317024,3.650972,-2.606135,3.15077,-2.077431,10.208707,2.0,0,65
19.655685,4.658046,-4.383782,1.307716,0.889566,5.86741,2.0,0,66
7.945704,5.879689,-3.027301,0.902883,-0.258347,1.704558,2.0,0,67
1.076849,1.222322,-1.07771,0.242367,-1.504805,-1.584707,2.0,0,68
7.713882,-11.092362,-2.863215,-1.504805,-2.034817,-5.390666,2.0,0,69
5.8532,-9.199657,3.653508,0.732428,-2.042807,-5.918014,2.0,0,70
4.958452,-2.309233,3.76812,-0.269001,-2.333114,-5.529162,2.0,0,71
5.682303,-6.436342,2.574145,-1.414251,-2.841819,-4.940556,2.0,0,72
2.74361,-4.956835,0.726458,-2.394372,-2.697996,-4.085614,2.0,0,73
0.462015,-3.66593,2.83354,-2.476937,-1.273092,-3.092176,2.0,0,74
-0.236994,-1.410325,1.445006,-2.666036,-0.399506,-2.634075,2.0,0,75
-3.218248,0.228446,0.587715,-1.614004,-0.356892,-1.270429,2.0,0,76
-1.592829,-0.820108,2.629519,-0.89223,-0.982784,-1.427568,2.0,0,77
-1.110109,-0.297956,2.003083,-1.536766,-0.468754,-0.615239,2.0,0,78
1.777806,-1.806889,1.163925,-1.542093,-0.796348,-0.540665,2.0,0,79
1.395632,-1.881428,-0.781345,0.343575,-0.444783,0.085228,2.0,0,80
1.188722,-0.844999,-1.534655,0.609912,-0.098545,0.428803,2.0,0,81
-1.222802,0.053758,-2.580117,1.033389,0.332922,0.490061,2.0,0,82
1.683739,-0.364477,-1.836507,0.410159,0.708457,0.207743,2.0,0,83
0.139805,1.304916,-2.974828,-0.735091,0.354229,0.423476,2.0,0,84
0.538403,1.466256,-0.700991,1.406261,0.170456,-0.183773,2.0,0,85
0.455862,-1.184387,-1.230354,-2.191956,0.290308,0.282318,2.0,0,86
0.02215,-0.219359,-1.342819,0.22905,0.117188,0.165129,2.0,0,87
0.02215,-0.219359,-1.342819,0.22905,0.117188,0.165129,2.0,0,88
0.182375,-0.133824,-0.603614,-0.897557,0.119852,0.071911,2.0,0,89
0.496094,1.758954,0.274578,0.02397,-0.538001,0.0,2.0,0,90
11.243763,-2.904819,-12.917493,-2.839155,-1.965569,-0.772378,2.0,0,91
11.243763,-2.904819,-12.917493,-2.839155,-1.965569,-0.772378,2.0,0,92
23.655642,6.669455,-8.219126,8.139267,-11.282046,4.250742,2.0,0,93
23.655642,6.669455,-8.219126,8.139267,-11.282046,4.250742,2.0,0,94
24.32877,-5.60499,-4.5276,4.133554,0.330258,9.779904,2.0,0,95
25.821505,-2.056939,-8.463837,4.160188,0.106535,8.613347,2.0,0,96
5.361737,4.578795,-2.363085,-1.34234,-0.412823,0.660516,2.0,0,97
1.128742,-0.491645,-0.784768,0.375536,-1.614004,-2.514224,2.0,0,98
3.069022,-3.228754,0.32567,0.103872,-3.044235,-3.739375,2.0,0,99
3.691692,-7.352528,1.893422,-1.323696,-3.38781,-3.989732,2.0,0,100
3.691692,-7.352528,1.893422,-1.323696,-3.38781,-3.989732,2.0,0,101
6.035166,-1.965663,6.269616,-1.608677,-3.446404,-4.269386,2.0,0,102
3.214981,-0.952124,2.747624,-1.243795,-2.900413,-4.463812,2.0,0,103
3.214981,-0.952124,2.747624,-1.243795,-2.900413,-4.463812,2.0,0,104
3.214981,-0.952124,2.747624,-1.243795,-2.900413,-4.463812,2.0,0,105
3.360498,-1.941298,1.069653,-1.715212,-2.460956,-4.527733,2.0,0,106
-0.294705,-4.056633,0.071934,-2.695333,-0.620566,-0.804339,2.0,0,107
-0.294705,-4.056633,0.071934,-2.695333,-0.620566,-0.804339,2.0,0,108
