# TEST CONFIGURATION BEGIN
# FileStream(filename='test.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] AdaptiveRandomForestClassifier(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01))
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=6220, max_time=1000, metrics=['accuracy', 'precision', 'recall', 'f1'], n_wait=200, output_file='result.csv', pretrain_size=200, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_precision_[M0],current_precision_[M0],mean_recall_[M0],current_recall_[M0],mean_f1_[M0],current_f1_[M0]
200,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
399,0.745000,0.745000,1.000000,1.000000,0.190476,0.190476,0.320000,0.320000
599,0.740000,0.735000,0.945946,0.920000,0.255474,0.310811,0.402299,0.464646
799,0.750000,0.770000,0.964286,1.000000,0.267327,0.292308,0.418605,0.452381
999,0.768750,0.825000,0.946237,0.918919,0.328358,0.515152,0.487535,0.660194
1199,0.787000,0.860000,0.965517,1.000000,0.402299,0.650000,0.567951,0.787879
1399,0.799167,0.860000,0.962567,0.952381,0.434783,0.606061,0.599002,0.740741
1599,0.802857,0.825000,0.959091,0.939394,0.441423,0.484375,0.604585,0.639175
1799,0.811250,0.870000,0.955882,0.942308,0.472727,0.680556,0.632603,0.790323
1999,0.817778,0.870000,0.950156,0.918367,0.494327,0.671642,0.650320,0.775862
2199,0.824500,0.885000,0.950549,0.953488,0.509573,0.661290,0.663471,0.780952
2399,0.831364,0.900000,0.944976,0.907407,0.531629,0.765625,0.680448,0.830508
2599,0.833750,0.860000,0.941558,0.909091,0.539033,0.625000,0.685579,0.740741
2799,0.837692,0.885000,0.945631,0.981132,0.552781,0.702703,0.697708,0.818898
2999,0.839643,0.865000,0.944345,0.928571,0.557203,0.619048,0.700866,0.742857
3199,0.842000,0.875000,0.943239,0.928571,0.562189,0.639344,0.704489,0.757282
3399,0.846562,0.915000,0.945398,0.976190,0.570621,0.719298,0.711685,0.828283
3599,0.850000,0.905000,0.946299,0.958333,0.579556,0.730159,0.718853,0.828829
3799,0.854722,0.935000,0.946164,0.944444,0.592749,0.836066,0.728875,0.886957
3999,0.859211,0.940000,0.947826,0.967742,0.607484,0.857143,0.740417,0.909091
4199,0.860000,0.875000,0.946262,0.921569,0.611782,0.691176,0.743119,0.789916
4399,0.860714,0.875000,0.945736,0.936170,0.614388,0.666667,0.744876,0.778761
4599,0.862955,0.910000,0.945664,0.944444,0.621566,0.772727,0.750104,0.850000
4799,0.865217,0.915000,0.944882,0.932203,0.629921,0.808824,0.755906,0.866142
4999,0.866458,0.895000,0.943361,0.918033,0.636591,0.777778,0.760195,0.842105
5199,0.853200,0.535000,0.932981,0.736842,0.616550,0.350000,0.742456,0.474576
5399,0.847308,0.700000,0.924959,0.826087,0.617647,0.633333,0.740692,0.716981
5599,0.844444,0.770000,0.913333,0.798387,0.630368,0.825000,0.745917,0.811475
5799,0.844107,0.835000,0.908475,0.856000,0.644851,0.877049,0.754292,0.866397
5999,0.843966,0.840000,0.901496,0.821705,0.659371,0.921739,0.761654,0.868852
6199,0.843667,0.835000,0.897924,0.853846,0.671700,0.888000,0.768509,0.870588
6219,0.843854,0.835000,0.898169,0.854962,0.673242,0.888889,0.769608,0.871595
